date,count,mean,std,min,5%,50%,95%,max,MaxDdAmp,MaxDdRecBars,MaxDdEnd,MaxDdStart,LongDdRecBars,LongDdStart,AnnStd,AnnSharpe
1,22.0,-0.0942413218721645,0.1562744804338284,-0.4668465759362903,-0.2827858275827262,-0.07458613409720818,0.11764291674676615,0.22595237733662735,-1.6064625052513286,21,False,2005-01-01,21,2005-01-01,0.5413506800756384,-0.17408553335334676
2,22.0,-0.0073257259120996145,0.15137707527451777,-0.4173488989524182,-0.20585080734737887,0.012544899937336321,0.18981194974741936,0.2544534661567427,-0.7245642769442746,8,False,2018-02-01,8,2018-02-01,0.5243855709532864,-0.013970113439204849
3,21.0,-0.0038963097322269034,0.12787973292618887,-0.22405359094761274,-0.2009939668293693,-0.019605022198336968,0.2178731292668033,0.26340284948673504,-0.8611410604238483,18,False,2007-03-01,18,2007-03-01,0.44298838937299556,-0.008795512084959446
4,21.0,-0.0008074641850430243,0.19263234987454972,-0.3847027774669713,-0.2180810661686963,-0.041814270425592326,0.32515503218141323,0.4116289618215517,-0.9370756496862404,14,False,2011-04-01,14,2011-04-01,0.6672980343282087,-0.0012100502976243976
5,21.0,-0.03016563921741247,0.19282331079072879,-0.45912341814172714,-0.3860455735672441,-0.03146886567815519,0.18487164183798932,0.3038693567294012,-1.2079399627136511,20,False,2005-05-01,20,2005-05-01,0.6679595423463728,-0.0451608777253907
6,21.0,-0.03683851004102495,0.17584025843166257,-0.35959904774302004,-0.32930849010527746,-0.07256223983625136,0.18620355636208877,0.24695275454322538,-0.7575304077011493,19,False,2006-06-01,19,2006-06-01,0.6091285232393624,-0.06047740113222204
7,21.0,0.0007154598498866627,0.1711305579464256,-0.21353432890076302,-0.1761837341456192,-0.03498257655860146,0.32513840548254386,0.37721200668172283,-0.5254534107242425,8,False,2017-07-01,8,2017-07-01,0.592813642181638,0.0012068883017834564
8,21.0,-0.02055000476124053,0.15218281537327297,-0.21582681240661888,-0.21212783595550472,-0.06355975894659394,0.23646557605877613,0.3210302954726675,-1.0852996341777152,14,False,2011-08-01,14,2011-08-01,0.5271767365307656,-0.0389812435512151
9,21.0,-0.022327065996518763,0.2241756483546629,-0.5778442764876364,-0.4014574642444651,-0.0009056147928873249,0.2506778145816892,0.4217204535590631,-0.9780881001081113,15,False,2010-09-01,15,2010-09-01,0.776567225539941,-0.028750976428338106
10,21.0,-0.08048378682998861,0.12012959462707953,-0.35316414402548335,-0.2979028331309205,-0.08200011041769673,0.11531562074072925,0.12956209106232755,-1.528505539652817,18,False,2007-10-01,18,2007-10-01,0.4161411227735099,-0.19340503119128877
11,22.0,-0.0962149273737337,0.2856116006466604,-1.0,-0.3869729641594694,-0.1007727017470145,0.276217268438124,0.4047767718508297,-1.7021551074417252,18,False,2007-11-01,18,2007-11-01,0.9893876071021757,-0.09724695021755758
12,22.0,0.00030778461038791856,0.16209918022614211,-0.27958901119486135,-0.24420233149749834,0.018906778155146117,0.270352307209053,0.3090893765624945,-0.5775071216020058,14,False,2011-12-01,14,2011-12-01,0.5615280320338848,0.0005481197604206972
